what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.ui,1.10.5,"org.tigris.subversion.subclipse.ui",1436126630323
os,sysinfo,,,"linux",1436126630328
arch,sysinfo,,,"x86_64",1436126630328
ws,sysinfo,,,"gtk",1436126630328
locale,sysinfo,,,"es_AR",1436126630328
processors,sysinfo,,,"4",1436126630328
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1436126630328
java.runtime.version,sysinfo,,,"1.7.0_67-b01",1436126630328
java.specification.name,sysinfo,,,"Java Platform API Specification",1436126630328
java.specification.vendor,sysinfo,,,"Oracle Corporation",1436126630328
java.specification.version,sysinfo,,,"1.7",1436126630328
java.vendor,sysinfo,,,"Oracle Corporation",1436126630328
java.version,sysinfo,,,"1.7.0_67",1436126630328
java.vm.info,sysinfo,,,"mixed mode",1436126630328
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1436126630328
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1436126630328
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1436126630328
java.vm.specification.version,sysinfo,,,"1.7",1436126630328
java.vm.vendor,sysinfo,,,"Oracle Corporation",1436126630328
java.vm.version,sysinfo,,,"24.65-b04",1436126630328
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1436126631411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436126636666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436126639472
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436126640590
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1436126641191
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1436126641198
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1436126641201
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1436126641203
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1436126641206
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1436126641210
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1436126641214
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1436126641218
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1436126641222
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1436126641225
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1436126641229
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1436126641235
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1436126641239
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1436126641243
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1436126641244
